home_links	home_links-href	cante_name
Oliver de Triana	http://canteytoque.es/letrasritooliver.html	Soleares de Triana
Cultura Jonda 5	http://canteytoque.es/letrasromerocultura.html	Rondeñas
CD 4	http://canteytoque.es/letraspastora04.html	23. Gitanita-itana-itana (bulería)
Le chant du monde v. 19	http://canteytoque.es/letrasperinacachant.html	Y siente tú mi fatiga (siguiriyas)
CD 13	http://canteytoque.es/letraspastora13.html	12. Mi madre me lo decía (bulería por soleá)
Cátedra del cante vol. 34	http://canteytoque.es/letrasrequejo.html	Tú no querías a mi madre (peteneras) Luisa Requejo
Beni de Cádiz	http://canteytoque.es/letrasbeni.html	Soleá
disco 3	http://canteytoque.es/letrasvvantologiaariola3.html	Por el hablá de la gente (soleares) Perrate de Utrera
El llanto de un cante	http://canteytoque.es/letrasvvllantodeuncante.html	Por la mañana temprano (soleá) Inés Bacán
Raíces del cante	http://canteytoque.es/letrasavila.html	"Serrana, te lo decía (fandangos de Lucena, de Cayetano Muriel)"
Fiesta por tangos. Los gitanos de Jerez	http://canteytoque.es/letrasvvfiestaportangos.html	Esperando el porvenir. Joaquín el Zambo
Homenaje a Pepe de la Matrona. CD 1	http://canteytoque.es/letrasmatronahomenaje1.html	Camelo que me lo digas (soleá)
El color de la hierba	http://canteytoque.es/letrasmagujetahierba.html	El color de la hierba (seguiriyas)
José de la Tomasa	http://canteytoque.es/letraspuroyjondojosetomasa.html	Malagueña
Actuaciones históricas CD 2	http://canteytoque.es/letrasfosforitoact2.html	Antonio de mi alma (seguiriyas jerezanas con cabales)
Rancapino	http://canteytoque.es/letraspuroyjondorancapino.html	Alegrías
Cultura Jonda 4. De Cádiz... aquella Venta de Vargas	http://canteytoque.es/letrasvvaquellaventadevargas.html	Todas nuestras tradiciones (pasodoble) Comparsa gaditana los blanco y negro
Cultura Jonda 4. De Cádiz... aquella Venta de Vargas	http://canteytoque.es/letrasvvaquellaventadevargas.html	"Ay, mira lo que es la ignorancia (bulerías) Chano Lobato"
Maestros del cante vol. 2	http://canteytoque.es/letrasborrico.html	Mira si soy buen gitano (bulerías por soleá)
Santiago Donday	http://canteytoque.es/letraspuroyjondodonday.html	Seguiriyas
Cultura Jonda 20	http://canteytoque.es/letrasjosleroculturajonda.html	Hasta en el andar (siguiriya de Paco la Luz y cabal)
Tres generaciones. Agujetas CD 1 (Manuel y su padre)	http://canteytoque.es/letrasvvtresgeneraciones1.html	Detente Judas (saeta) Manuel Agujetas
Por alegrías	http://canteytoque.es/letrasvvporalegrias.html	Qué pena de las murallas. Antonio Carmona
"Mujeres de la Bética (Perla, Sallago, Adela Chaqueta)"	http://canteytoque.es/letrasvvperlasallagoadela.html	Duérmete niño chico (nana) la Sallago
Antología del cante flamenco (CD 2)	http://canteytoque.es/letrasantologiahispavox2.html	Alboreás. Rafael Romero
Chocolate con Niño Ricardo	http://canteytoque.es/letraschocolatericardo.html	Cinco sentidos perdí (martinete)
El genio (Quejío) 2	http://canteytoque.es/letrascaracolquejio2.html	Onza de oro (caracoles)
CD 1	http://canteytoque.es/letrasantologiaorfeon1.html	Fandangos. Pepe el Culata
"Grandes guitarras del flamenco. Pedro Peña (con Perrata, Lebrijano, Periñaca, Borrico y Juanata)"	http://canteytoque.es/letrasvvpedropena.html	Los cinco capullos (fandangos) el Borrico
CD 1	http://canteytoque.es/letrasantologiaorfeon1.html	Serrana. Manolo Caracol
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Te has dejado de decir (soleá) Juanito Villar
El flamenco como suena	http://canteytoque.es/letrasfernandaybernardacomosuena.html	Taranto. Bernarda
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 2)"	http://canteytoque.es/letrasvvgrabacionesenparis2.html	Cante de la madrugada (Rafael Romero)
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Cartagenera
El Torta	http://canteytoque.es/letraspuroyjondotorta.html	Soleá
Nueva frontera del cante de Jerez (CD 1)	http://canteytoque.es/letrasvvnuevafrontera1.html	"Dos lunares (fiesta por tangos) Juan Moneo ""el Torta"""
Por tangos y tientos	http://canteytoque.es/letrasvvportangosytientos.html	La barca de mis amores (tientos caracoleros) Manolo Caracol
Por tarantas y tarantos	http://canteytoque.es/letrasvvportarantas.html	¿De quién será?. Pepe el Culata
Cátedra del cante vol. 27	http://canteytoque.es/letrassebastianpena.html	Quien canta espanta sus males (guajiras cubanas)
Cátedra del cante vol. 14	http://canteytoque.es/letrasgloria.html	También por el interés (fandango)
Arroyuelo	http://canteytoque.es/letrasantoniomalena.html	Dale ese gusto a mi cuerpo
Por derecho	http://canteytoque.es/letrasclavel.html	Yo no quiero estar (cantiñas)
"Mujeres de la Bética (Perla, Sallago, Adela Chaqueta)"	http://canteytoque.es/letrasvvperlasallagoadela.html	Los duendes del sentimiento (tientos) la Sallago
Qué nos queda	http://canteytoque.es/letrasvvquenosqueda.html	Tangos
Cañeta de Málaga	http://canteytoque.es/letraspuroyjondocaneta.html	Fandangos
Chocolate con Niño Ricardo	http://canteytoque.es/letraschocolatericardo.html	Por otro la vi llorar (soleares)
Cátedra del cante vol. 14	http://canteytoque.es/letrasgloria.html	Dormía el jardinero (bulerías)
"Grandes guitarras del flamenco. Melchor de Marchena (Antonio Mairena, Pericón, Pepe y Enrique el Culata)"	http://canteytoque.es/letrasvvmelchor.html	Cuando te veo venir (alegrías) Enrique el Culata
"En ""ca"" Fernando de la Morena"	http://canteytoque.es/letrasfernandomorena.html	Este querer de nosotros
Cultura Jonda 4. De Cádiz... aquella Venta de Vargas	http://canteytoque.es/letrasvvaquellaventadevargas.html	Qué bien te pega la gorra (alegrías) Manolo Vargas y Pastora Imperio
Viejo cante jondo	http://canteytoque.es/letrasmagujetajondo.html	Tientos de la corona
Rancapino	http://canteytoque.es/letraspuroyjondorancapino.html	Soleá de Juan Talega
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 2)"	http://canteytoque.es/letrasvvgrabacionesenparis2.html	Aguinaldo (Rafael Romero)
CD 4	http://canteytoque.es/letraspastora04.html	2. Son pícaros tartaneros (cartagenera)
Primer disco	http://canteytoque.es/letrasrancapino1.html	Si eres hijo de una paya (tangos)
"Grandes guitarras del flamenco. Melchor de Marchena (Antonio Mairena, Pericón, Pepe y Enrique el Culata)"	http://canteytoque.es/letrasvvmelchor.html	A mí qué me importa (mirabrás) Pepe el Culata
Le chant du monde v. 1	http://canteytoque.es/letrasmatronachant.html	Tientos
El llanto de un cante	http://canteytoque.es/letrasvvllantodeuncante.html	La madre de mi alma (malagueña) Fernando Terremoto
Nueva frontera del cante de Jerez (CD 2)	http://canteytoque.es/letrasvvnuevafrontera2.html	"Anda y dale, dale (bulerías antiguas de Jerez) tío Gregorio el Borrico"
"La familia de los Torre (María Torre, Tomás Torre, Pájaro, Tomasa y Pichón)"	http://canteytoque.es/letrasritofamiliatorre.html	Fandangos (la Tomasa)
"Las tonás (Talega, Mairena, Agujetas y Borrico, R. Romero y Menese)"	http://canteytoque.es/letrasritotonas.html	Martinete y carcelera (Manuel Agujetas)
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	Saetas. Pepe el Culata y Mariquilla Heredia
Triana. Familia Montoya	http://canteytoque.es/letrasvvtrianafamiliamontoya.html	"Ay, ay (bulerías)"
Grandes cantaores del flamenco	http://canteytoque.es/letrasromerograndes.html	Los olivaritos del valle (toná)
Auténtica	http://canteytoque.es/letrasburra.html	Soleá
Tía Anica la Periñaca	http://canteytoque.es/letrasritoperinaca.html	Siguiriya
La Paquera de Jerez	http://canteytoque.es/letrasritopaquera.html	Bulerías
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	La trilla. Bernardo el de los Lobitos
Solera gitana(Quejío) 1	http://canteytoque.es/letrasmairenaquejio1.html	Dicen que van a hacer (bulerías)
disco 7	http://canteytoque.es/letrasvvantologiaariola7.html	De quien son esos machos (liviana chica y serrana) Luis Caballero
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	Y la mar mueve los barcos (jaberas) Curro de Utrera
CD 2	http://canteytoque.es/letraspastora02.html	21. Dicen que tú vas a hacer (bulería)
CD 3	http://canteytoque.es/letrasantologiaorfeon3.html	Cabales. Rafael Romero
CD 10	http://canteytoque.es/letraspastora10.html	7. Engarzada en oro y marfil (granaína)
Por bulerías	http://canteytoque.es/letrasvvporbulerias.html	En la calle Nueva. Terremoto de Jerez
El flamenco como suena	http://canteytoque.es/letrasfernandaybernardacomosuena.html	Siguiriya. Bernarda
José Mercé	http://canteytoque.es/letraspuroyjondomerce.html	Bulerías
Cañeta de Málaga	http://canteytoque.es/letraspuroyjondocaneta.html	Tangos
"Antología de cantaores flamencos. Vol. 8 (Chocolate, Cojo de Málaga, Pena hijo)"	http://canteytoque.es/letrasvvchocolatecojomalagapenahijo.html	Y no sé por qué motivo (bulerías) Cojo de Málaga
CD 8	http://canteytoque.es/letraspastora08.html	7. Tú no digas que me has dejado (bulerías por soleá)
Cante Jondo	http://canteytoque.es/letrasromerocantejondo.html	Guajira
Cante flamenco (volumen 2)	http://canteytoque.es/letrasfernandaybernardacanteflamenco2.html	Siguiriyas. Bernarda
En la calle Nueva	http://canteytoque.es/letrasangustia.html	Por decir señores (bulerías)
Le chant du monde v. 19	http://canteytoque.es/letrasperinacachant.html	Qué desgracia es la mía (siguiriyas)
Maestros del cante	http://canteytoque.es/letraschocolatemaestros.html	Romera de mis romeras (romera)
Figuras del cante jondo	http://canteytoque.es/letrasterremotofiguras.html	Seguiriyas
Verea del camino	http://canteytoque.es/letrasvicentesotoverea.html	La más mala (soleares)
CD 8	http://canteytoque.es/letraspastora08.html	19. Pilatos por no dejar (saeta)
Manuel Moneo	http://canteytoque.es/letraspuroyjondomoneo.html	Bulerías
"Romances, tientos y tangos (Perrate, Perrata, Lebrijano, Mairena, Terremoto, Menese y Herraor)"	http://canteytoque.es/letrasritoromancestientosytangos.html	Tangos (Terremoto)
Actuaciones históricas CD 1	http://canteytoque.es/letrasfosforitoact1.html	Al pie de tu sepultura (peteneras)
Por alegrías	http://canteytoque.es/letrasvvporalegrias.html	Torre de Tavira. Juanito Valderrama
Antología del cante flamenco (CD 2)	http://canteytoque.es/letrasantologiahispavox2.html	Marianas. Bernardo el de los Lobitos
Por alegrías	http://canteytoque.es/letrasvvporalegrias.html	En las salinas de Cádiz. Ricardo Losada el Yunque
Grandes cantaores del flamenco	http://canteytoque.es/letrasturronero.html	A las dos de la mañana (taranto)
Grandes cantaores del flamenco	http://canteytoque.es/letrasromerograndes.html	Soy como el peregrino (petenera)
La casa de los Mairena	http://canteytoque.es/letrasritocasamairena.html	Seguiriyas (Curro Mairena)
CD 8	http://canteytoque.es/letraspastora08.html	17. Que yo te querré (taranta)
El querer no se puede ocultar	http://canteytoque.es/letrasmagujetaquerer.html	Si tú tuvieras la culpa (soleares)
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Serenata
Cultura Jonda 10. XV Potaje gitano de Utrera en directo (1971)	http://canteytoque.es/letrasvvxvpotajeutrera.html	Para que pases por mí penas (soleares). Gaspar de Utrera
Cante Jondo	http://canteytoque.es/letrasromerocantejondo.html	Alegrías
"Potaje gitano en Utrera (con Fernanda, Bernarda, Pepa, Perrate y Paco Valdepeñas)"	http://canteytoque.es/letrasvvpotajeutrera.html	No vendo mi jaca (bulerías) Paco Valdepeñas
CD 5	http://canteytoque.es/letraspastora05.html	6. Al escucharlo temblé (tiento)
Maestros del cante	http://canteytoque.es/letrasmanolovargas.html	Un sabio me leyó el sino (tientos)
CD 8	http://canteytoque.es/letraspastora08.html	16. Preguntó en una ocasión (tiento)
Antonio Mairena	http://canteytoque.es/letrasritoantoniomairena.html	Bulerías
Familia Soto Sordera	http://canteytoque.es/letraspuroyjondofamiliasoto.html	Soleá
CD 1	http://canteytoque.es/letraspastora01.html	12. Yo soy como aquel fiel pelegrino (petenera)
"En ""ca"" Fernando de la Morena"	http://canteytoque.es/letrasfernandomorena.html	Mariquilla Moquillo
Fernando de la Morena	http://canteytoque.es/letraspuroyjondofernandomorena.html	Tarantos
"Grandes guitarras del flamenco. Pedro Peña (con Perrata, Lebrijano, Periñaca, Borrico y Juanata)"	http://canteytoque.es/letrasvvpedropena.html	Mal fin tenga este sueño (siguiriyas) María la Perrata
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	A mí qué me importa (mirabrás)
Bernarda de Utrera	http://canteytoque.es/letrasritobernarda.html	Bulerías
CD 4	http://canteytoque.es/letrasantologiaorfeon4.html	Cartagenera. Antonio Valdepeñas
Festival flamenco gitano	http://canteytoque.es/letrasvvfestivalflamencogitano.html	Por fiesta. La Cañeta
Castillo de arena	http://canteytoque.es/letrascamaroncastillodearena.html	Donde se divisa el mar (tarantos)
Fernando Terremoto	http://canteytoque.es/letraspuroyjondochanoterremoto.html	Bulerías
Un maestro del cante	http://canteytoque.es/letrasescacena.html	Granaínas
Homenaje a Pepe de la Matrona. CD 1	http://canteytoque.es/letrasmatronahomenaje1.html	Mira qué juntitos estamos (soleá)
Maestros del cante	http://canteytoque.es/letraspericon.html	Fatigas yo tengo (siguiriyas)
Solera gitana(Quejío) 2	http://canteytoque.es/letrasmairenaquejio2.html	De la sierra de Ronda (serrana)
Antología del cante flamenco y cante gitano. CD 1	http://canteytoque.es/letrasvvantologiamairena1.html	Tangos de Triana. Rosalía de Triana
Le chant du monde v. 17	http://canteytoque.es/letrasbenichant.html	Una flor de la marisma (fandangos)
Cante Jondo	http://canteytoque.es/letrasromerocantejondo.html	Soleares de Triana
El Pele	http://canteytoque.es/letraspuroyjondopele.html	Bulerías
Cultura Jonda 3	http://canteytoque.es/letraspansecocultura.html	Por aquella ventana (seguiriyas)
disco 3	http://canteytoque.es/letrasvvantologiaariola3.html	Temprano se arrecogen (romeras) Manuel Soto Sordera
"Grandes guitarras del flamenco. Manuel Morao (con Sernita, Chaleco, Paquera y Terremoto)"	http://canteytoque.es/letrasvvmorao.html	No quiero juerga ni vino (fandangos) Terremoto
"Triana (Niño Bronce, Rosalía, Oliver, P. Matrona y Titi)"	http://canteytoque.es/letrasritotriana.html	Soleares (Rosalía de Triana)
Homenaje a Pepe de la Matrona. CD 1	http://canteytoque.es/letrasmatronahomenaje1.html	Dicen que van a temblar (bulerías)
Disco de oro	http://canteytoque.es/letrascamarondiscooro.html	Salud antes que dinero (fandangos)
"Málaga y Levante (Fosforito, A. Canillas, F. Montoro y A. Piñana)"	http://canteytoque.es/letrasritomalagaylevante.html	Cante de jabegotes y verdiales (Fosforito)
El genio (Quejío) 1	http://canteytoque.es/letrascaracolquejio1.html	Antes de llegar a tu puerta (fandangos de Huelva)
Flamenco vivo	http://canteytoque.es/letrascamaronflamencovivo.html	La cava de los gitanos (bulerías)
Cultura Jonda 3	http://canteytoque.es/letraspansecocultura.html	Caramelitos (tangos)
CD 3	http://canteytoque.es/letraspastora03.html	12. Un refajo (taranta)
CD 3	http://canteytoque.es/letraspastora03.html	15. Yo sembré un tomillo (bulería)
VI concurso nacional de arte flamenco 1971 Córdoba (CD3)	http://canteytoque.es/letrasvvviconcurso3.html	Soleares. Naranjito de Triana
El Zambo	http://canteytoque.es/letraspuroyjondozambo.html	Fandangos
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 2)"	http://canteytoque.es/letrasvvgrabacionesenparis2.html	Romera (Rafael Romero)
Archivo de flamenco	http://canteytoque.es/letrasterremotoarchivo.html	Presumes de saber (alegrías)
Antología del cante flamenco (CD 2)	http://canteytoque.es/letrasantologiahispavox2.html	Siguiriyas. Rafael Romero
"Potaje gitano en Utrera (con Fernanda, Bernarda, Pepa, Perrate y Paco Valdepeñas)"	http://canteytoque.es/letrasvvpotajeutrera.html	Ya llegó la hora (siguiriya) Perrate
Grandes cantaores del flamenco	http://canteytoque.es/letrasmairenagrandes.html	A mis enemigos (siguiriyas de Cádiz y los Puertos)
El Indio Gitano	http://canteytoque.es/letrasindiogitano.html	Vamos a hincarnos de rodillas (siguiriyas)
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	Cuando nace la aurora (serrana)
Mariana Cornejo	http://canteytoque.es/letraspuroyjondocornejo.html	Tientos
Tres generaciones. Agujetas CD 2 (Manuel y su hijo)	http://canteytoque.es/letrasvvtresgeneraciones2.html	Manuela de mi alma (siguiriyas) Antonio Agujetas
CD 1	http://canteytoque.es/letraspastora01.html	9. Me lo pedía (sevillanas)
VI concurso nacional de arte flamenco 1971 Córdoba (CD1)	http://canteytoque.es/letrasvvviconcurso1.html	Tangos. Jesús Heredia
disco 2	http://canteytoque.es/letrasvvantologiaariola2.html	Como loca me salí (bulerías) Bernarda de Utrera
"En ""ca"" Fernando de la Morena"	http://canteytoque.es/letrasfernandomorena.html	Tú tienes un amor para mí
"La cantaora (Pastora, Perrata, Rosalía, C. Montoya y Sabina)"	http://canteytoque.es/letrasritocantaora.html	Seguiriyas (Niña de los Peines)
CD 4	http://canteytoque.es/letraspastora04.html	15. La carita con la tierra (fandango de Lucena)
Cultura Jonda 3	http://canteytoque.es/letraspansecocultura.html	La limosna (bulerías)
Así es... Pansequito	http://canteytoque.es/letraspansecoasies.html	"Todo el que dice ay, ay"
Tres generaciones. Agujetas CD 1 (Manuel y su padre)	http://canteytoque.es/letrasvvtresgeneraciones1.html	Me perdiste (fandangos) Manuel Agujetas
Fiesta por bulerías. Los gitanos de Jerez	http://canteytoque.es/letrasvvfiestaporbulerias.html	Qué guapos están los novios. Chiqui de Jerez
Ayer y hoy	http://canteytoque.es/letraschaqueton.html	El rocío mañanero (fandangos)
Maestros del cante	http://canteytoque.es/letrassorderamaestros.html	En esta esquina me paro (bulerías)
"Flamenco de Jerez a los Puertos (Terremoto, Mono, A. Reyes y Chano)"	http://canteytoque.es/letrasvvflamencodejerezalospuertos.html	Siguiriya. Jose Vargas el Mono
Beni de Cádiz	http://canteytoque.es/letrasbeni.html	Tientos
Le chant du monde v. 17	http://canteytoque.es/letrasbenichant.html	Rosa venenosa (bulerías)
Cante flamenco (volumen 1)	http://canteytoque.es/letrasfernandaybernardacanteflamenco1.html	Bulerías. Fernanda y Bernarda
Bulerías	http://canteytoque.es/letraspansecobulerias.html	El hogar
El Indio Gitano	http://canteytoque.es/letrasindiogitano.html	La luz del día (seguiriyas)
El Indio Gitano	http://canteytoque.es/letrasindiogitano.html	Que Dios te lo pagará (seguiriyas)
Familia Soto Sordera	http://canteytoque.es/letraspuroyjondofamiliasoto.html	Bulerías
CD 7	http://canteytoque.es/letraspastora07.html	15. Si yo no te he dado motivo (tiento)
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	Nace el río en las montañas (caña) Chato de La Isla
Caminos reales del cante	http://canteytoque.es/letrasmercecaminosreales.html	Amapola de un trigal (fandangos)
CD 13	http://canteytoque.es/letraspastora13.html	7. Soy como aquel fiel peregrino (petenera)
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Pretendiéndote estuve (serrana) Chaquetón
"Arte flamenco. Juan Cantero / Roque Montoya ""Jarrito"""	http://canteytoque.es/letrasvvcanterojarrito.html	Antes de olvidarte yo (tientos) Juan Cantero
"Mujeres de la Bética (Perla, Sallago, Adela Chaqueta)"	http://canteytoque.es/letrasvvperlasallagoadela.html	Tengo una Dolorosa (fandangos) la Sallago
Chano Lobato (CD2)	http://canteytoque.es/letraschano2.html	Caracoles
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Lamento minero
"De Despeñaperros para arriba (Porras, A. y K. Farina, Calderas y Quiqui)"	http://canteytoque.es/letrasritodespenaperrosparriba.html	Tangos (Quiqui de Toledo)
En un ratito!	http://canteytoque.es/letrasvvenunratito.html	Sorderita. Esa mujer ya es casá
Agujeta	http://canteytoque.es/letrasritoagujeta.html	Siguiriyas (Agujetas el Viejo)
Chocolate con Niño Ricardo	http://canteytoque.es/letraschocolatericardo.html	Aunque murmure la gente (siguiriyas)
Grandes cantaores del flamenco	http://canteytoque.es/letrasturronero.html	Ni el sol que va en su carrera (bulerías por soleá)
Antonio Mairena	http://canteytoque.es/letrasritoantoniomairena.html	Corrido gitano
Solera gitana(Quejío) 1	http://canteytoque.es/letrasmairenaquejio1.html	De nuevo a quererte (malagueña)
CD 3	http://canteytoque.es/letrasantologiaorfeon3.html	Fandango. Ramón de Cádiz / David Moreno
"Triana (Niño Bronce, Rosalía, Oliver, P. Matrona y Titi)"	http://canteytoque.es/letrasritotriana.html	Seguiriyas (Niño Bronce)
50 años de flamenco (1935-1985) v. 10	http://canteytoque.es/letraschocolate50.html	No quitarme la botella (fandangos)
CD 3	http://canteytoque.es/letraspastora03.html	10. Cuál de las dos cogeré (tiento)
CD 3	http://canteytoque.es/letraspastora03.html	14. Entré en ese castillito (bulería)
Pansequito	http://canteytoque.es/letraspuroyjondopanseco.html	Taranto
El cante gitano del Chocolate	http://canteytoque.es/letraschocolatecantegitano.html	Nadie diga que es locura (martinete)
Caminos reales del cante	http://canteytoque.es/letrasmercecaminosreales.html	De Málaga cosa fina (tangos del Piyayo)
Gitanas de Utrera por bulerías	http://canteytoque.es/letrasvvgitanasdeutrera.html	Me embrujaste. Consolación de Luisa
Morrongo	http://canteytoque.es/letrasdondaymorrongo.html	Bulerías
disco 6	http://canteytoque.es/letrasvvantologiaariola6.html	No caía nunca en cama (soleares) Fernanda de Utrera
"Seguiriyas (I) (Periñaca, Manuel Agujetas y Terremoto)"	http://canteytoque.es/letrasritoseguiriyas1.html	Tía Anica la Periñaca
En un ratito!	http://canteytoque.es/letrasvvenunratito.html	Remedios Amaya. Tangos 2 Remedios
En Lebrija. El Funi y el Juanata con Pedro Peña	http://canteytoque.es/letrasvvenlebrija.html	Serrana que te olvidara. El Juanata
Homenaje a Pepe de la Matrona. CD 1	http://canteytoque.es/letrasmatronahomenaje1.html	Vengo de la feria de Ronda (soleá)
"La familia Pinini (Fernanda Peña, Funi, María Peña, Bernarda y Fernanda)"	http://canteytoque.es/letrasritofamiliapinini.html	Bulerías (Bernarda de Utrera)
disco 6	http://canteytoque.es/letrasvvantologiaariola6.html	Como el carbón en la sierra (tangos) Diego Clavel
Naturaleza flamenca (Quejío) 2	http://canteytoque.es/letrasmatronaquejio2.html	Desperté y la vi (cabal de Manuel Molina)
Cañeta de Málaga	http://canteytoque.es/letraspuroyjondocaneta.html	Bulerías
El Lebrijano	http://canteytoque.es/letrasritolebrijano.html	Bamberas
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	Yo amanecí esta mañana (soleares) Agustín el Gitano
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Llevo yo un escapulario (romeras) Juanito Villar
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 1)"	http://canteytoque.es/letrasvvgrabacionesenparis1.html	Garrotín (Rafael Romero)
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	O me vaya a Grazalema (fandango)
Solera gitana(Quejío) 2	http://canteytoque.es/letrasmairenaquejio2.html	Cuando puse mi sentido (soleares)
Familia Soto Sordera	http://canteytoque.es/letraspuroyjondofamiliasoto.html	Taranto
50 años de flamenco (1940-1990) v. 1	http://canteytoque.es/letrasfosforito50.html	Razón de ser (fandangos)
José Mercé	http://canteytoque.es/letraspuroyjondomerce.html	Fandango de Manuel Torres
Naturaleza flamenca (Quejío) 2	http://canteytoque.es/letrasmatronaquejio2.html	Como aquel barquito (malagueña del Perote)
CD 4	http://canteytoque.es/letraspastora04.html	9. Con san Antonio (cartagenera)
CD 12	http://canteytoque.es/letraspastora12.html	7. Allá en la Siria hay una mora (colombiana)
Le chant du monde v. 8. (con Agujeta Viejo)	http://canteytoque.es/letrasmagujetachant.html	Una inquisición (siguiriyas)
CD 1	http://canteytoque.es/letrasantologiaorfeon1.html	Tanguillo comparsero. Victoriano de Málaga
Un maestro del cante	http://canteytoque.es/letrasescacena.html	"Dejadme, flores (soleares)"
Inés Bacán	http://canteytoque.es/letraspuroyjondoinesbacan.html	Soleá
En directo en Zeleste	http://canteytoque.es/letrasjoslerozeleste.html	Lástima le da de mí (alegrías)
"Grandes guitarras del flamenco. Manuel Morao (con Sernita, Chaleco, Paquera y Terremoto)"	http://canteytoque.es/letrasvvmorao.html	Filigrana de Jazmín (media granaína) Paquera de Jerez
CD 13	http://canteytoque.es/letraspastora13.html	6. Fui piedra y perdí mi centro (soleá)
CD 3	http://canteytoque.es/letrasantologiaorfeon3.html	Malagueña de Chacón. Victoriano de Málaga
Por bulerías	http://canteytoque.es/letrasvvporbulerias.html	"Gitana, te has vuelto loca. Chiquito de Osuna"
CD 12	http://canteytoque.es/letraspastora12.html	17. Que me han de matar de un tiro (alegría)
Tres generaciones. Agujetas CD 2 (Manuel y su hijo)	http://canteytoque.es/letrasvvtresgeneraciones2.html	Lo que la camelo yo (soleares) Manuel Agujetas
Cante Jondo	http://canteytoque.es/letrasromerocantejondo.html	Jarainero
Beni de Cádiz	http://canteytoque.es/letrasbeni.html	Tango flamenco
Mariana Cornejo	http://canteytoque.es/letraspuroyjondocornejo.html	Bulerías
Chano Lobato (CD2)	http://canteytoque.es/letraschano2.html	Alzada la cabeza (mirabrás)
50 años de flamenco (1935-1985) v. 10	http://canteytoque.es/letraschocolate50.html	Llorando me la encontré (fandango)
Le chant du monde v. 20	http://canteytoque.es/letrastalegachant.html	Sintiendo estaban las piedras (siguiriyas)
disco 5	http://canteytoque.es/letrasvvantologiaariola5.html	Porque me ha mirao (fandangos gitanos) Fernanda de Utrera
Le chant du monde v. 17	http://canteytoque.es/letrasbenichant.html	Tormento de mis tormentos (bulerías)
Arte flamenco. Pericón de Cádiz / Chato de La Isla	http://canteytoque.es/letrasvvpericonchato.html	Que te miraras en ello (cantiñas)
VI concurso nacional de arte flamenco 1971 Córdoba (CD1)	http://canteytoque.es/letrasvvviconcurso1.html	Granaínas. Antonio Pérez Jiménez
Arte flamenco. Cobitos / Sernita de Jerez	http://canteytoque.es/letrasvvcobitossernita.html	Salgo pensando (mineras) Cobitos
Maestros del cante	http://canteytoque.es/letrassorderamaestros.html	Yo no te hablo (soleares)
Sus primeras grabaciones	http://canteytoque.es/letrasfernandaybernardasusprimeras.html	El hablar de la gente (soleares) Fernanda
Grandes cantaores del flamenco	http://canteytoque.es/letraschatodelaisla.html	Yo vivo en mi soledad (bulerías por soleá)
Antología del cante flamenco y cante gitano. CD 1	http://canteytoque.es/letrasvvantologiamairena1.html	Bulerías al golpe. Rosalía de Triana
"Antología de cantaores flamencos. Vol. 8 (Chocolate, Cojo de Málaga, Pena hijo)"	http://canteytoque.es/letrasvvchocolatecojomalagapenahijo.html	Eres hermosa (taranta de Fernando de Triana) Cojo de Málaga
En un ratito!	http://canteytoque.es/letrasvvenunratito.html	Sorderita. Te lo recompensaré
Jesús Heredia	http://canteytoque.es/letraspuroyjondojesusheredia.html	Cantiñas
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	"Salgo pensando (minera) Manuel Celestino ""Cobito"""
Cultura Jonda 5	http://canteytoque.es/letrasromerocultura.html	"Caña, macho y soleá"
CD 7	http://canteytoque.es/letraspastora07.html	18. Pastorcito ¿por qué lloras? (bulería)
Manuel Soto Sordera	http://canteytoque.es/letrasritosordera.html	Fandangos
"La cantaora (Pastora, Perrata, Rosalía, C. Montoya y Sabina)"	http://canteytoque.es/letrasritocantaora.html	Alegrías (María la Sabina)
