home_links	home_links-href	cante_name
"De Ronda a Málaga (Panda Poveda, P. Lavado y M. Chicano, A. Ranchal, Fosforito y A. Canillas)"	http://canteytoque.es/letrasritorondaamalaga.html	Rondeñas (Fosforito)
Por tangos y tientos	http://canteytoque.es/letrasvvportangosytientos.html	Vienes pidiendo guerra (tientos) Bernarda de Utrera
Le chant du monde v. 8. (con Agujeta Viejo)	http://canteytoque.es/letrasmagujetachant.html	Como cosita mía (siguiriya)
"Antología de cantaores flamencos. Vol. 8 (Chocolate, Cojo de Málaga, Pena hijo)"	http://canteytoque.es/letrasvvchocolatecojomalagapenahijo.html	Cuando ando me desmayo (malagueña de la Trini) José Muñoz Pena hijo
Fandangos de Huelva (Pepe Rivera y Paco Toronjo)	http://canteytoque.es/letrasritofandangosdehuelva.html	Fandango de Santa Eulalia (Paco Toronjo)
El Lebrijano	http://canteytoque.es/letrasritolebrijano.html	Tangos
VI concurso nacional de arte flamenco 1971 Córdoba (CD1)	http://canteytoque.es/letrasvvviconcurso1.html	Peteneras. Naranjito de Triana
Fiesta por bulerías. Los gitanos de Jerez	http://canteytoque.es/letrasvvfiestaporbulerias.html	Palitroque. Antonio de la Malena
"Arte flamenco. Juan Cantero / Roque Montoya ""Jarrito"""	http://canteytoque.es/letrasvvcanterojarrito.html	Si el cariño se comprara (tangos extremeños) Juan Cantero
Chocolate	http://canteytoque.es/letrasritochocolate.html	Soleares
"Grabaciones en París 1956-1959. Rafael Romero, Juan Varea, Perico el del Lunar (CD 2)"	http://canteytoque.es/letrasvvgrabacionesenparis2.html	Granaína (Rafael Romero)
Melchor de Marchena	http://canteytoque.es/letrasritomelchor.html	Fandangos (Manolo Caracol)
Naturaleza flamenca (Quejío) 2	http://canteytoque.es/letrasmatronaquejio2.html	En aquel pocito inmediato (tientos)
Flamenco en el Teatro Real	http://canteytoque.es/letraslebrijano.html	La raya de enmedio (cante del garrotín)
Sonakay	http://canteytoque.es/letrasrevuelo.html	Su cante mi perdición (tarantos)
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	La he tenido que dejar (bulerías por soleá) Chocolate de Granada
Solera gitana(Quejío) 2	http://canteytoque.es/letrasmairenaquejio2.html	Vente para el postigo (siguiriya de Triana)
CD 9	http://canteytoque.es/letraspastora09.html	6. Tú no tienes la culpa (siguiriya)
VI concurso nacional de arte flamenco 1971 Córdoba (CD1)	http://canteytoque.es/letrasvvviconcurso1.html	Seguiriyas. Curro Fernández
Antología del cante flamenco y cante gitano. CD 2	http://canteytoque.es/letrasvvantologiamairena2.html	Saeta gitana. Antonio Mairena
Antología del cante flamenco y cante gitano. CD 1	http://canteytoque.es/letrasvvantologiamairena1.html	Tangos de Cádiz. Aurelio Sellés
CD 3	http://canteytoque.es/letraspastora03.html	5. Males que acarrea el tiempo (soleá)
Santiago Donday	http://canteytoque.es/letraspuroyjondodonday.html	Seguiriyas
Rubichis	http://canteytoque.es/letrasdiegorubichi.html	Tientos-tangos
Tres generaciones. Agujetas CD 1 (Manuel y su padre)	http://canteytoque.es/letrasvvtresgeneraciones1.html	Pa escuchá (bulería por soleá) Manuel Agujetas
Así soy yo	http://canteytoque.es/letrassusiasisoyyo.html	Ley de gitanos (bulerías)
CD 12	http://canteytoque.es/letraspastora12.html	20. Del color de cera madre (tango)
Primer disco	http://canteytoque.es/letrasrancapino1.html	Al campo los dos nos fuimos (soleares)
"Colección Federico García Lorca (Torre, Tenazas, Pastora, Tomás y Cepero)"	http://canteytoque.es/letrasvvcoleccionlorca.html	Ya me sacan de la cárcel (martinete) el Tenazas
Cátedra del cante vol. 14	http://canteytoque.es/letrasgloria.html	Solo en el mundo quedé (fandanguillos)
"Grandes guitarras del flamenco. Manuel Morao (con Sernita, Chaleco, Paquera y Terremoto)"	http://canteytoque.es/letrasvvmorao.html	A la madre de mi alma (malagueña del Mellizo) Sernita de Jerez
"Colección Federico García Lorca (Torre, Tenazas, Pastora, Tomás y Cepero)"	http://canteytoque.es/letrasvvcoleccionlorca.html	Hasta la fe del bautismo (soleares) Niña de los Peines
Le chant du monde v. 8. (con Agujeta Viejo)	http://canteytoque.es/letrasmagujetachant.html	Mal fin tenga (soleares) Agujeta Viejo
CD 6	http://canteytoque.es/letraspastora06.html	15. Se enturbecieron los cielos (saeta)
CD 12	http://canteytoque.es/letraspastora12.html	2. De los cuatro muleros (bulería)
"De Sanlúcar a La Línea (Medrano, Castaña, Farina, Mollino, Yiyi y Paca)"	http://canteytoque.es/letrasritosanlucaralalinea.html	"Soleares (Francisca Gómez Vargas ""la Paca"")"
En familia. Familia Montoya	http://canteytoque.es/letrasvvfamiliamontoya.html	Luna lunera
"De Ronda a Málaga (Panda Poveda, P. Lavado y M. Chicano, A. Ranchal, Fosforito y A. Canillas)"	http://canteytoque.es/letrasritorondaamalaga.html	Jaberas (Fosforito)
Nano de Jerez	http://canteytoque.es/letraspuroyjondonano.html	Bulerías
Antología del cante flamenco y cante gitano. CD 1	http://canteytoque.es/letrasvvantologiamairena1.html	Taranta. Pepita Caballero
CD 8	http://canteytoque.es/letraspastora08.html	5. Tienen los pastos comunes (fandango de Huelva)
"Soleares (II) (Donday, Sabina, Sordera, Borrico y Chozas)"	http://canteytoque.es/letrasritosolea2.html	Soleares del Chozas (el Chozas)
CD 9	http://canteytoque.es/letraspastora09.html	10. Engarzada en oro y marfil (granaína)
Cádiz joven. Chaquetón y Juanito Villar	http://canteytoque.es/letrasvvchaquetonvillar.html	Los consejos que te dieron (soleá) Chaquetón
El genio (Quejío) 1	http://canteytoque.es/letrascaracolquejio1.html	En el calabozo (martinetes)
Arte flamenco. Antonio Piñana / Dolores de Córdoba	http://canteytoque.es/letrasvvpinanadolorescordoba.html	Échame a mí la culpa (bulerías) Dolores de Córdoba
Arte flamenco. Miguel Vargas / Chano Lobato	http://canteytoque.es/letrasvvmiguelvargaschano.html	Homenaje a Concha Piquer (canción por bulerías) Chano Lobato
José Menese	http://canteytoque.es/letrasritomenese.html	Soleá
Antología del cante flamenco (CD 2)	http://canteytoque.es/letrasantologiahispavox2.html	Cantes de trilla. Bernardo el de los Lobitos
Sernita de Jerez	http://canteytoque.es/letrassernita.html	Verdiales
Le chant du monde v. 1	http://canteytoque.es/letrasmatronachant.html	Seguiriya
En Lebrija. El Funi y el Juanata con Pedro Peña	http://canteytoque.es/letrasvvenlebrija.html	De Vera. El Juanata
Antología del cante flamenco (CD 1)	http://canteytoque.es/letrasantologiahispavox1.html	Sevillanas corraleras. Bernardo el de los Lobitos
Chano Lobato (CD2)	http://canteytoque.es/letraschano2.html	Homenaje a Concha Piquer (canción por bulerías)
Cantes inéditos(CD 2)	http://canteytoque.es/letrasfernandaybernardacantesineditos2.html	Bulerías
VI concurso nacional de arte flamenco 1971 Córdoba (CD1)	http://canteytoque.es/letrasvvviconcurso1.html	Soleares. Curro Malena
Qué nos queda	http://canteytoque.es/letrasvvquenosqueda.html	Bulerías
Sus primeras grabaciones	http://canteytoque.es/letrasfernandaybernardasusprimeras.html	Dos vereditas iguales (soleares) Fernanda
Nueva frontera del cante de Jerez (CD 1)	http://canteytoque.es/letrasvvnuevafrontera1.html	Voy a la Audiencia de Cádiz (soleares de la Plazuela) Diego Rubichi
CD 7	http://canteytoque.es/letraspastora07.html	10. Si a la derecha te inclinas (cartagenera)
Arte flamenco. Pericón de Cádiz / Chato de La Isla	http://canteytoque.es/letrasvvpericonchato.html	Por qué te fuiste de mi vera (siguiriyas)
Le chant du monde v. 20	http://canteytoque.es/letrastalegachant.html	Yo no soy de esta tierra (siguiriyas)
Arte flamenco. Cobitos / Sernita de Jerez	http://canteytoque.es/letrasvvcobitossernita.html	Soy más cristiano que moro (malagueña del Mellizo) Cobitos
CD 4	http://canteytoque.es/letraspastora04.html	13. Mis ojitos son canales (fandango de Lucena)
Con sabor a cuarto	http://canteytoque.es/letraschanosaboracuarto.html	Malagueña (Doble del mellizo)
El genio (Quejío) 2	http://canteytoque.es/letrascaracolquejio2.html	"No quiero caudales (bulerías ""a gorpe"")"
José Menese	http://canteytoque.es/letrasritomenese.html	Tangos
Fiesta en Andalucía la Baja	http://canteytoque.es/letrasvvfiestaenandalucialabaja.html	La sangre se me remueve (tientos)
Tres generaciones. Agujetas CD 1 (Manuel y su padre)	http://canteytoque.es/letrasvvtresgeneraciones1.html	Tú vienes a que te perdone (soleares) Agujetas Viejo
Cátedra del cante vol. 34	http://canteytoque.es/letrasrequejo.html	Hasta el alma me duele (seguiriyas) Luisa Requejo
Castillo de arena	http://canteytoque.es/letrascamaroncastillodearena.html	De tus ojos soy cautivo (soleares)
"Romances, tientos y tangos (Perrate, Perrata, Lebrijano, Mairena, Terremoto, Menese y Herraor)"	http://canteytoque.es/letrasritoromancestientosytangos.html	Romance y alboreá
Una historia del cante flamenco 1	http://canteytoque.es/letrascaracolhistoria1.html	Me pueden mandar (caña)
Fiesta por tangos. Los gitanos de Jerez	http://canteytoque.es/letrasvvfiestaportangos.html	Tardes grises de invierno. Melchora Ortega
Cantes inéditos(CD 2)	http://canteytoque.es/letrasfernandaybernardacantesineditos2.html	Tangos
Santiago Donday	http://canteytoque.es/letraspuroyjondodonday.html	Bulerías
Paco de Lucía (y Pepe de Lucía)	http://canteytoque.es/letrasritopacodelucia.html	Bulerías (Pepe de Lucía)
Le chant du monde v. 19	http://canteytoque.es/letrasperinacachant.html	Siguiriyas de José de Paula de Jerez
Disco de oro	http://canteytoque.es/letrascamarondiscooro.html	Vas a conseguir tres cosas (fandangos de Huelva)
Enrique Morente	http://canteytoque.es/letrasritomorente.html	Tientos
Fiesta por tangos. Los gitanos de Jerez	http://canteytoque.es/letrasvvfiestaportangos.html	Báilame a mí por tango. Ana de los Reyes
Amós Rodríguez Rey	http://canteytoque.es/letrasritoamos.html	Bulerías
Cuando canta el pasado	http://canteytoque.es/letrasvicentesotocuandocantaelpasado.html	Entre Arcos y Cádiz (bulerías)
Festival flamenco gitano	http://canteytoque.es/letrasvvfestivalflamencogitano.html	Alegrías. José Salazar
Flamenco en el Teatro Real	http://canteytoque.es/letraslebrijano.html	"De Lebrija, Lebrijano (fiesta por bulerías)"
"Arte flamenco. Juan Cantero / Roque Montoya ""Jarrito"""	http://canteytoque.es/letrasvvcanterojarrito.html	Si arreglao a mis penas (seguiriya) Jarrito
Le chant du monde v. 1	http://canteytoque.es/letrasmatronachant.html	Petenera
"Grandes guitarras del flamenco. Pedro Peña (con Perrata, Lebrijano, Periñaca, Borrico y Juanata)"	http://canteytoque.es/letrasvvpedropena.html	Que la rosa en el rosal (soleares) el Lebrijano
Cultura Jonda 4. De Cádiz... aquella Venta de Vargas	http://canteytoque.es/letrasvvaquellaventadevargas.html	Por qué a tu fuente me llevas (bulerías) Juan Vargas
El cante gitano del Chocolate	http://canteytoque.es/letraschocolatecantegitano.html	Quisiera volverme yedra (jota por bulerías)
Al compás de los Zambos	http://canteytoque.es/letrasvvfamiliazambo.html	Las gallinas en el corral
50 años de flamenco (1935-1985) v. 10	http://canteytoque.es/letraschocolate50.html	Lo que yo por ti daría (malagueña)
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	Estás queriendo a quien no te quiere (mirabrás-rosas)
Inés Bacán	http://canteytoque.es/letraspuroyjondoinesbacan.html	Nana
Maestros del cante	http://canteytoque.es/letrasperla.html	De la morería (bulerías)
CD 1	http://canteytoque.es/letrasantologiaorfeon1.html	Siguirillas. Pepe el Culata
"Cantes flamencos importados (Chorbos, Chano, A. Álora, S. Bracamonte, A. Canillas, Marchena y Herraor)"	http://canteytoque.es/letrasritocantesimportados.html	Rumba (los Chorbos)
Memoria viva de los cantes de Triana	http://canteytoque.es/letrasoliver.html	Soleares
CD 8	http://canteytoque.es/letraspastora08.html	4. Pobre mi madre querida (vidalita)
CD 13	http://canteytoque.es/letraspastora13.html	11. A nadie le habrá pasado (bulería)
Cultura Jonda 7	http://canteytoque.es/letrasfernandaybernardacultura.html	El corazón de pena (seguiriyas de Paco la Luz) Fernanda
Canta Jerez	http://canteytoque.es/letrasvvcantajerez.html	Con qué grandes fatigas (siguiriyas) Diamante Negro
La Paquera de Jerez	http://canteytoque.es/letrasritopaquera.html	Tangos
Una historia del cante flamenco 1	http://canteytoque.es/letrascaracolhistoria1.html	De Santiago y Santa Ana (siguiriyas de Manuel Torre)
José de la Tomasa	http://canteytoque.es/letraspuroyjondojosetomasa.html	Romeras
"Grandes guitarras del flamenco. Pedro Peña (con Perrata, Lebrijano, Periñaca, Borrico y Juanata)"	http://canteytoque.es/letrasvvpedropena.html	El alto cielo (tientos) el Juanata
En familia. Familia Montoya	http://canteytoque.es/letrasvvfamiliamontoya.html	Tangos de la Virgen
Sus primeras grabaciones	http://canteytoque.es/letrasfernandaybernardasusprimeras.html	Mi sombrero te dirá (fiesta por bulerías) Bernarda
Chocolate con Niño Ricardo	http://canteytoque.es/letraschocolatericardo.html	Con gran devoción (siguiriyas)
Mariana Cornejo	http://canteytoque.es/letraspuroyjondocornejo.html	Seguiriyas
Por bulerías	http://canteytoque.es/letrasvvporbulerias.html	"Gitanitos, gitanitos. Amina"
CD 11	http://canteytoque.es/letraspastora11.html	18. Sombrerito de hule (bulería)
Canta Jerez	http://canteytoque.es/letrasvvcantajerez.html	Los caminos se hicieron (bulerías de Nochebuena) Romerito
Nueva frontera del cante de Jerez (CD 2)	http://canteytoque.es/letrasvvnuevafrontera2.html	Como la palma en verano (por fiestas) cantan varios
Solera gitana(Quejío) 2	http://canteytoque.es/letrasmairenaquejio2.html	El mes de los caracoles (tangos canasteros)
Castillo de arena	http://canteytoque.es/letrascamaroncastillodearena.html	Vivo para quererte (tientos)
María Vargas	http://canteytoque.es/letrasritomariavargas.html	Fandangos
El cante de Fernanda y Bernarda de Utrera	http://canteytoque.es/letrasfernandaybernardaelcantede.html	Si te publico me pierdo (tangos)
Así soy yo	http://canteytoque.es/letrassusiasisoyyo.html	Con la pena que yo vivo (bulerías por soleá)
disco 3	http://canteytoque.es/letrasvvantologiaariola3.html	El puente de Triana (caracoles) Antonio Mairena
Flamenco en el Teatro Real	http://canteytoque.es/letraslebrijano.html	En el umbral de tu puerta (cantiñas)
CD 13	http://canteytoque.es/letraspastora13.html	1. De cien dificultades (bulería)
El Lebrijano	http://canteytoque.es/letrasritolebrijano.html	Martinetes y seguiriyas
"Mujeres de la Bética (Perla, Sallago, Adela Chaqueta)"	http://canteytoque.es/letrasvvperlasallagoadela.html	Ni a contemplarte (soleá) la Sallago
El Pele	http://canteytoque.es/letraspuroyjondopele.html	Alegrías
disco 1	http://canteytoque.es/letrasvvantologiaariola1.html	A mí qué me importa (mirabrás) El Lebrijano
"La familia de los Torre (María Torre, Tomás Torre, Pájaro, Tomasa y Pichón)"	http://canteytoque.es/letrasritofamiliatorre.html	Seguiriyas (el Pájaro)
CD 5	http://canteytoque.es/letraspastora05.html	14. A mi Gabriela (taranta y fandango de Lucena)
"Grandes guitarras del flamenco. Melchor de Marchena (Antonio Mairena, Pericón, Pepe y Enrique el Culata)"	http://canteytoque.es/letrasvvmelchor.html	De quién son esos machos (serrana) Pericón de Cádiz
Solera gitana(Quejío) 1	http://canteytoque.es/letrasmairenaquejio1.html	A mí me lo pareciste (granaínas)
"Mujeres de la Bética (Perla, Sallago, Adela Chaqueta)"	http://canteytoque.es/letrasvvperlasallagoadela.html	De Cádiz a Triana (marianas) la Sallago
Cante gitano	http://canteytoque.es/letrascurromalena.html	Siguiriyas y cabal
